,SecurityID,ZXF
689,002232.SZE,62
690,002233.SZE,24
691,002234.SZE,37
692,002235.SZE,25
693,002236.SZE,60
694,002237.SZE,12
695,002238.SZE,63
696,002239.SZE,30
697,002240.SZE,37
698,002241.SZE,60
699,002242.SZE,33
700,002243.SZE,25
701,002244.SZE,42
702,002245.SZE,50
703,002246.SZE,22
704,002247.SZE,63
705,002248.SZE,26
706,002249.SZE,26
707,002250.SZE,22
708,002251.SZE,31
709,002252.SZE,35
710,002253.SZE,62
711,002254.SZE,10
712,002255.SZE,26
713,002256.SZE,27
714,002258.SZE,22
715,002259.SZE,20
716,002260.SZE,33
717,002261.SZE,62
718,002262.SZE,35
719,002263.SZE,22
720,002264.SZE,31
721,002265.SZE,30
722,002266.SZE,27
723,002267.SZE,20
724,002268.SZE,62
725,002269.SZE,34
726,002270.SZE,26
727,002271.SZE,24
728,002272.SZE,26
729,002273.SZE,60
730,002274.SZE,22
731,002275.SZE,35
732,002276.SZE,27
733,002277.SZE,31
734,002278.SZE,26
735,002279.SZE,62
736,002280.SZE,62
737,002281.SZE,61
738,002282.SZE,26
739,002283.SZE,30
740,002284.SZE,30
741,002285.SZE,42
742,002286.SZE,37
743,002287.SZE,35
744,002288.SZE,60
745,002289.SZE,60
746,002290.SZE,33
747,002291.SZE,34
748,002292.SZE,63
749,002293.SZE,34
750,002294.SZE,35
751,002295.SZE,12
752,002296.SZE,61
753,002297.SZE,21
754,002298.SZE,27
755,002299.SZE,37
756,002300.SZE,27
757,002301.SZE,25
758,002302.SZE,24
759,002303.SZE,25
760,002304.SZE,36
761,002305.SZE,42
762,002306.SZE,32
763,002307.SZE,23
764,002308.SZE,62
765,002309.SZE,27
766,002310.SZE,23
767,002311.SZE,37
768,002312.SZE,62
769,002313.SZE,61
770,002314.SZE,42
771,002315.SZE,63
772,002316.SZE,41
773,002317.SZE,35
774,002318.SZE,21
775,002319.SZE,22
776,002320.SZE,50
777,002321.SZE,37
778,002322.SZE,27
779,002323.SZE,24
780,002324.SZE,22
781,002325.SZE,23
782,002326.SZE,22
783,002327.SZE,34
784,002328.SZE,30
785,002329.SZE,36
786,002330.SZE,36
787,002331.SZE,62
788,002332.SZE,35
789,002333.SZE,24
790,002334.SZE,27
791,002335.SZE,61
792,002336.SZE,31
793,002337.SZE,26
794,002338.SZE,28
795,002339.SZE,27
796,002340.SZE,20
797,002341.SZE,60
798,002342.SZE,26
799,002343.SZE,63
800,002344.SZE,31
801,002345.SZE,31
802,002346.SZE,27
803,002347.SZE,26
804,002348.SZE,25
805,002349.SZE,35
806,002350.SZE,27
807,002351.SZE,60
808,002352.SZE,50
809,002353.SZE,26
810,002354.SZE,63
811,002355.SZE,30
812,002356.SZE,31
813,002357.SZE,50
814,002358.SZE,27
815,002359.SZE,61
816,002360.SZE,22
817,002361.SZE,22
818,002362.SZE,62
819,002363.SZE,30
820,002364.SZE,27
821,002365.SZE,35
822,002366.SZE,26
823,002367.SZE,26
824,002368.SZE,62
825,002369.SZE,60
826,002370.SZE,35
827,002371.SZE,60
828,002372.SZE,24
829,002373.SZE,62
830,002374.SZE,25
831,002375.SZE,23
832,002376.SZE,62
833,002377.SZE,42
834,002378.SZE,12
835,002379.SZE,12
836,002380.SZE,62
837,002381.SZE,22
838,002382.SZE,35
839,002383.SZE,62
840,002384.SZE,60
841,002385.SZE,37
842,002386.SZE,22
843,002387.SZE,62
844,002388.SZE,60
845,002389.SZE,60
846,002390.SZE,35
847,002391.SZE,22
848,002392.SZE,24
849,002393.SZE,35
850,002394.SZE,34
851,002395.SZE,22
852,002396.SZE,61
853,002397.SZE,34
854,002398.SZE,23
855,002399.SZE,35
856,002400.SZE,63
857,002401.SZE,62
858,002402.SZE,60
859,002403.SZE,33
860,002404.SZE,34
861,002405.SZE,62
862,002406.SZE,26
863,002407.SZE,22
864,002408.SZE,10
865,002409.SZE,22
866,002410.SZE,62
867,002411.SZE,22
